"user_id","school","startdate","enddate","degree_raw","field_raw"
528895723,"ENCG-SETTAT","2005-01-01","2007-01-01","Master 2 (M2)","audit et ingénierie financière"
20586670,"Westwood High School","2018-01-01","2022-01-01","5.56",
606783801,"Cambridge convent school , sardarshahar","2010-01-01","2014-01-01","10th","school"
695434612,"Università degli Studi di Napoli ""L'Orientale""","2002-01-01","2006-01-01","Bachelor's degree","Language Interpretation and Translation"
141322003,"Airport Senior Secondary School","2003-01-01","2005-01-01","10+2","Science"
180937298,"University of Colorado Boulder","2003-01-01","2007-01-31","Minor","Astrophysical and Planetary Science"
557514437,"Watchung Regional High School","2012-01-01","2016-01-31",,
1018837098,"California State University, Fullerton","2016-01-01","2022-01-31","Bachelor of Science - BS","Public Health"
359577626,"University of California, Berkeley","2015-01-01","2019-01-01","Cognitive Science",
19826903,"Drexel University","2013-01-01","2015-01-31","Bachelor's Degree","Management Information Systems, General"
177553172,"University of Liberal Arts Bangladesh","2021-01-01","2022-01-01","Master of Arts - MA","Literature and Cultural Studies"
723325915,"Minufiya University","2018-01-01","2022-01-01","Associate's degree","Accounting"
84968422,"University of Central Missouri","2014-01-01","2015-01-31","Master's degree","Computer Science"
530167178,"Tulane University School of Medicine","2021-01-01","2025-01-31","Doctorate","Medicine"
141958341,"FSG - Centro Universitário da Serra Gaúcha","2013-01-01","2015-01-01","Safety Engineer","Safety Engineering"
67347412,"Stratford High School",,,,
611581156,"Friedrich-Alexander-Universität Erlangen-Nürnberg","2009-01-01","2013-01-01","Bachelor of Arts (BA)","Business Administration"
519132752,"Lancaster University","2010-01-01","2012-01-01","Master of Business Administration - MBA","Business Administration and Management, General"
73141155,"Musashino Gakuin University","2007-01-01","2011-01-01","Master's degree","International and Intercultural Communication"
238866489,"Universidad de Sevilla",,,"Licenciado en Ciencias y Técnicas Estadísticas","Ciencias y Técnicas Estadísticas"
42298024,"Costa Rican Language Academy","2015-01-01","2016-01-01","Diploma","Spanish Language and Literature"
848525856,"Technical academy","2021-01-01","2021-01-01","Permis de CASES R489","Gestion logistique, des matériaux et de la chaîne d'approvisionnement"
287252124,"Aalto University School of Business","2006-01-01","2013-01-01","Master of Science (M.Sc.)","Economics"
211331742,"University of Washington","2008-01-01","2012-01-31","Bachelor of Arts (B.A.)","Art History"
120684633,"Shenandoah University","2022-01-01","2026-01-31","Cybersecurity","Cybersecurity"
843948105,"Davidson College","2007-01-01","2009-01-31","Logistics, Materials, and Supply Chain Management",
211331742,"University of California, Davis","2013-01-01","2015-01-31","Master of Arts (M.A.)","Art History"
380268833,"English Language Centre, University of Glasgow, Scotland, UK","2009-01-01","2009-01-01","Pre-Sessional English Language Course","English Language"
394345756,"LADY DOAK COLLEGE","2010-01-01","2012-01-31","Bachelor of Commerce (BCom)","Business/Commerce, General"
303585242,"Lansing Community College","2009-01-01","2009-01-31",,
246898677,"Parul University","2016-01-01","2019-01-01",,
122140362,"Reading high school","2004-01-01","2007-01-01","High school diploma",
319720134,"Edge Hill University","2018-01-01","2021-01-01","Marketing","Business, Management, Marketing, and Related Support Services"
62967940,"Universitas Padjadjaran","2012-01-01","2017-01-31",,
530167178,"University of Houston","2015-01-01","2019-01-31","Bachelor of Science - BS","Biotechnology"
287252124,"Aalto University School of Business","2006-01-01","2010-01-01","Bachelor of Science (B.Sc.)","Economics, Finance"
65225102,"Tidewater Community College","2020-01-01","2024-01-31","Occupational Therapy Assistant","n/a"
193531693,"Kendriya Vidyalaya","1984-01-01","1996-01-01",,
576666892,"Oklahoma State University Institute of Technology - Okmulgee","2006-01-01","2007-01-31","Associate of Arts and Sciences - AAS",
364102613,"Marquette High School",,,,
473217552,"University of Tours","2015-01-01","2018-01-01","PhD","Life and Health Sciences"
34527953,"Hogeschool van Amsterdam","2017-01-01","2021-01-01","Bachelor's degree","Logistics Engineering"
134828932,"Presidency College","2013-01-01","2015-01-01","Post Graduation Diploma In Management","Marketing/Marketing Management, General"
173856517,"North Dakota State College of Science","2006-01-01","2008-01-01","Associate's degree","Diesel Mechanics Technology/Technician"
327077416,"The Ohio State University","2005-01-01","2008-01-31","Bachelor of Science (BS)","Atmospheric Sciences and Meteorology"
272740614,"Pratt Institute","2017-01-01","2019-01-31","Master of Science - MS","Package Design"
1052354641,"Technische Universität München","2010-01-01","2013-01-01","Bachelor of Science (B.Sc.)","Elektrotechnik und Informationstechnik"
245268662,"Universidade Federal de Alagoas","2010-01-01","2017-01-01","Bacharelado","História"
260138953,"The Citadel","1988-01-01","1992-01-01","BA",
1011633285,"NRAM, Nitte, Karkala","2017-01-01","2020-01-31","Diploma in electronic and communication engineering","Electrical, Electronic and Communications Engineering Technology/Technician"
103087212,"Sadvidya Pre-University College","2004-01-01","2006-01-01","Pre-University College",
380268833,"College of Chinese Language and Culture, Jinan University, Mainland China","2002-01-01","2003-01-01","Pre-Sessional Course","Mandarin and English language, Physical, Chemistry and Biology"
211331742,"University of California, Santa Cruz","2018-01-01","2024-01-31","Doctor of Philosophy (Ph.D.)","History"
59497329,"Purdue University",,,,
2802690,"WTCC",,,"Effective Teacher Training",
523054584,"Syracuse University School of Information Studies","2018-01-01","2020-01-01","Master's degree","Management Information Systems, General"
224137212,"University of Cambridge",,,"Master of Arts - MA",
17622973,"Sadhna Centre For Management And Leadership Development (SCMLD) - Pune","2004-01-01","2006-01-01","PGDBM, Marketing","Marketing"
614687810,"Canyon High School","2014-01-01","2018-01-01",,
1014934408,"North Canyon High School",,,"12",
608033720,"The Johns Hopkins University","2018-01-01","2022-01-31","Bachelor of Arts - BA","Cognitive Science, Psychological and Brain Sciences, and Public Health Studies"
206750564,"Jomo Kenyatta University of Agriculture and Technology","2014-01-01","2018-01-01","Master of Science","Civil Engineering"
42298024,"University of Missouri-Columbia","2011-01-01","2016-01-01","International Business Dual Degree BSBA","Finance and Spanish"
160354764,"Florida State College at Jacksonville","2015-01-01","2016-01-31","Bachelor of Business Administration (B.B.A.)","Business Administration and Management, General"
441972904,"Ecole Centrale de Marseille","2020-01-01",,"Ingénierie",
140633953,"The University of Texas at Austin","2022-01-01","2023-01-31","Master of Arts - MA","Economics"
692822210,"Baylor University","2023-01-01","2024-01-31","Doctor of Physical Therapy (DPT)","Student Physical Therapist"
874150720,"National Taiwan University","2007-01-01","2009-01-01","Master’s Degree","Economics"
359113269,"Kwantlen Polytechnic University","2005-01-01","2005-01-01","Certificate","Interdisciplinary Design"
656705825,"Universidad Iberoamericana, Ciudad de México","1996-01-01","2000-01-01","Relaciones Industriales",
515657218,"University of Montréal","2021-01-01","2023-01-01","Master's","International Studies"
489751915,"Ohio Wesleyan University",,,"Bachelor of Arts - BA","Economics, Politics & Government"
468999510,"I have completed my mca from ignou university","2016-01-01","2018-01-01","bca","commerce"
206289293,"Tilburg University",,,"Master of Laws - LLM","International and European Law/European Union Law"
370350277,"Worcester Polytechnic Institute",,,"B.S. Mechanical Engineering","Materials Engineering"
