"user_id","skill_raw","skill_mapped","skill_k75"
272740614,"marketing","marketing","marketing / marketing strategy / customer relationship management (crm)"
88209465,"manufacturing engineering","manufacturing engineering","autocad / solidworks / mechanical engineering"
637781815,"continuous improvement","continuous improvement","manufacturing / continuous improvement / quality assurance"
363297536,"team leadership","team leadership","strategic planning / team leadership / negotiation"
597266983,"real estate","real estate","real estate / investment properties / property management"
349020218,"team leadership","team leadership","strategic planning / team leadership / negotiation"
490628746,"management","management","management / leadership / training"
656599145,"team building","team building","management / leadership / training"
692033896,"coaching","coaching","coaching / leadership development / organizational development"
41448720,"store management","store management","retail / merchandising / fashion"
75889457,"windows server","windows server","networking / troubleshooting / technical support"
2802690,"microsoft office","microsoft office","microsoft office / microsoft excel / microsoft word"
285377781,"logistics","logistics","operations management / inventory management / logistics"
21715078,"change management","change management","change management / information technology infrastructure library / it service management"
29627016,"relationship management","relationship management","risk management / banking / credit"
547948871,"microsoft word","microsoft word","microsoft office / microsoft excel / microsoft word"
670085703,"social media","social media","social media / social networking / facebook"
170205057,"embedded systems","embedded systems","electronics / embedded systems / debugging"
2002532537,"microsoft office","microsoft office","microsoft office / microsoft excel / microsoft word"
985539436,"troubleshooting","troubleshooting","networking / troubleshooting / technical support"
370350277,"failure analysis","failure analysis","electronics / embedded systems / debugging"
254544923,"waste management","waste management","environmental awareness / sustainability / geographic information systems (gis)"
446387582,"engineering design","engineering design","engineering / project engineering / commissioning"
524788390,"credit","credit","risk management / banking / credit"
597266983,"first time home buyers","first time home buyers","real estate / investment properties / property management"
466965403,"research","research","public speaking / research / higher education"
103352438,"derivatives","derivatives","investment banking / equities / capital markets"
461751678,"workshop facilitation","workshop facilitation","coaching / leadership development / organizational development"
679695185,"pediatrics","pediatrics","clinical research / clinical trials / medicine"
597514689,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
270910993,"athletic training","athletics","sports / radio / fitness"
541852890,"java enterprise edition","java enterprise edition","java enterprise edition / java server pages / hibernate"
71284739,"people management","people management","people management / planning / internet information services (iis)"
485083371,"military","military","process improvement / program management / cross-functional team leadership"
510342078,"graphics","graphics","photoshop / graphic design / adobe creative suite"
301214847,"manufacturing","manufacturing","manufacturing / continuous improvement / quality assurance"
182346353,"microsoft office","microsoft office","microsoft office / microsoft excel / microsoft word"
2003186828,"asp.net","asp.net","c# / .net / asp.net"
211437614,"community outreach","community outreach","fundraising / nonprofits / community outreach"
570729675,"html5","html5","html / javascript / mysql"
224695242,"industrial safety","industrial safety","safety management systems / mining / occupational health"
691082473,"inventory control","inventory control","operations management / inventory management / logistics"
670085703,"nonprofits","nonprofits","fundraising / nonprofits / community outreach"
1009283025,"public relations","public relations","event planning / public relations / event management"
505112180,"educational leadership","educational leadership","public speaking / research / higher education"
2007529976,"income tax","income tax","accounting / financial reporting / auditing"
109182802,"program management","program management","process improvement / program management / cross-functional team leadership"
499068590,"leadership","leadership","management / leadership / training"
670245336,"consulting","consulting","strategic planning / team leadership / negotiation"
363297536,"customer service","customer service","customer service / teamwork / time management"
1054385953,"pre-sales","pre-sales","cloud computing / enterprise software / virtualization"
101222275,"management","management","management / leadership / training"
414413033,"job descriptions","job descriptions","management / leadership / training"
88209465,"solidworks","solidworks","autocad / solidworks / mechanical engineering"
649782453,"public speaking","public speaking","public speaking / research / higher education"
298390934,"solidworks","solidworks","autocad / solidworks / mechanical engineering"
301214847,"pharmaceutical industry","pharmaceutical industry","pharmaceutical industry / biotechnology / good manufacturing practices"
103298299,"product development","product development","strategic planning / team leadership / negotiation"
424256781,"oil/gas","oil/gas","gas / petroleum / oil/gas"
580579359,"cleaning validation","cleaning validation","pharmaceutical industry / biotechnology / good manufacturing practices"
144695256,"engineering","engineering","engineering / project engineering / commissioning"
463142482,"product management","product management","strategic planning / team leadership / negotiation"
200690902,"business strategy","business strategy","strategic planning / team leadership / negotiation"
77028091,"program management","program management","process improvement / program management / cross-functional team leadership"
632774463,"steel design","structural engineering","project management / project planning / construction"
43876414,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
466726883,"operations management","operations management","operations management / inventory management / logistics"
548040054,"teamwork","teamwork","customer service / teamwork / time management"
301214847,"regulatory affairs","regulatory affairs","pharmaceutical industry / biotechnology / good manufacturing practices"
211331742,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
637085481,"html","html","html / javascript / mysql"
103352438,"venture capital","venture capital","financial analysis / finance / financial modeling"
203905184,"java server pages","java server pages","java enterprise edition / java server pages / hibernate"
977635795,"petrochemical","petrochemical","engineering / project engineering / commissioning"
671969253,"microsoft sql server","microsoft sql server","structured query language / sap / microsoft sql server"
